carat,cut,color,clarity,depth,table,price,x,y,z
0.77,Ideal,E,SI2,60.7,55,2834,6.01,5.95,3.63
0.9,Very Good,F,SI2,61.4,57,3519,6.21,6.24,3.82
1.78,Very Good,D,SI2,62.5,57,12981,7.76,7.8,4.86
1.03,Premium,I,SI1,61.6,59,4441,6.49,6.46,3.99
0.59,Ideal,D,SI1,62.5,55,1820,5.35,5.4,3.36
0.7,Ideal,D,VS1,61.9,57,3093,5.69,5.72,3.53
1.04,Ideal,G,VVS2,61.7,56,9465,6.5,6.54,4.02
1.07,Ideal,H,SI1,61.5,56,5065,6.6,6.66,4.08
2.14,Fair,J,I1,69.4,57,5405,7.74,7.7,5.36
1.14,Ideal,F,VS1,61.1,55,8953,6.74,6.78,4.13
1,Very Good,G,VS2,62.8,57,5227,6.33,6.37,3.99
0.78,Ideal,D,VS2,62.9,56,3736,5.85,5.88,3.69
1.59,Very Good,E,SI2,61.1,57,8994,7.48,7.54,4.59
0.79,Ideal,G,VS1,62,56,3561,5.91,5.94,3.67
0.92,Good,H,VS1,62.3,63,4116,6.18,6.3,3.88
0.9,Very Good,I,VS1,63.3,59,3580,6.1,6.06,3.85
1.5,Ideal,E,SI1,62,55,11489,7.4,7.32,4.56
0.38,Ideal,F,VS1,62.4,54,998,4.68,4.64,2.91
0.34,Ideal,D,VS2,62.5,57,1033,4.47,4.4,2.77
0.5,Premium,H,IF,61.4,61,1971,5.14,5.03,3.12
2.07,Premium,H,SI2,59.6,60,11094,8.3,8.24,4.93
0.31,Ideal,G,VVS1,61.3,60,710,4.33,4.38,2.67
1.01,Very Good,G,VS1,63.2,58,6618,6.38,6.34,4.02
1.3,Premium,G,VVS1,60.5,60,11061,7.01,7.05,4.25
0.71,Fair,F,SI1,57,62,2149,5.84,5.87,3.34
0.3,Good,F,SI2,63.5,57,394,4.22,4.25,2.69
0.63,Premium,F,SI1,60.9,56,1736,5.58,5.56,3.39
1.5,Ideal,F,VS2,60.2,57,13653,7.43,7.39,4.46
1.2,Very Good,E,VVS2,63.2,56,11456,6.73,6.78,4.27
0.31,Ideal,I,IF,61.3,57,837,4.4,4.34,2.68
0.57,Ideal,F,VS2,59.2,57,1637,5.45,5.5,3.24
0.3,Very Good,E,IF,60.1,60,1026,4.3,4.32,2.59
2.22,Good,I,SI2,63.2,57,16398,8.23,8.28,5.22
0.39,Ideal,E,VS2,60.5,56,839,4.75,4.77,2.88
0.31,Very Good,G,VVS2,63.4,59,907,4.29,4.26,2.71
0.51,Ideal,G,VS1,62.3,53.5,1652,5.09,5.14,3.19
1.23,Very Good,H,SI1,63,55,5665,6.72,6.78,4.27
0.73,Premium,E,SI2,60.1,59,2341,5.87,5.82,3.51
0.31,Good,H,SI1,63.6,57,435,4.28,4.31,2.73
0.41,Good,J,VS2,64.3,55,606,4.66,4.7,3.01
0.91,Premium,D,SI1,62.8,57,4228,6.17,6.12,3.86
1.01,Premium,F,VS1,61.7,58,7507,6.43,6.4,3.96
0.41,Ideal,F,IF,61.9,56,1439,4.77,4.79,2.96
0.57,Ideal,F,VS2,61.3,57,1612,5.35,5.39,3.29
0.3,Good,D,SI2,63.3,57,447,4.26,4.3,2.71
1.62,Premium,E,SI2,60.8,59,9526,7.62,7.57,4.62
0.5,Ideal,E,VS1,62.3,55,1603,5.09,5.12,3.18
0.6,Ideal,G,VVS2,61.3,56,2467,5.43,5.46,3.34
0.31,Ideal,F,VS2,61.5,56,802,4.37,4.34,2.68
1.02,Good,F,SI2,63.3,61,3811,6.28,6.32,3.99
1.01,Premium,G,VVS2,61.6,60,7466,6.41,6.38,3.94
0.59,Premium,F,SI1,62.2,60,2124,5.37,5.33,3.33
0.9,Ideal,H,VS2,60.9,54,4871,6.19,6.22,3.78
0.7,Ideal,I,VVS2,62.1,56,2367,5.68,5.72,3.54
0.54,Ideal,E,VS2,61.8,57,1590,5.23,5.26,3.24
0.3,Very Good,H,SI1,59.4,63,540,4.4,4.35,2.6
0.7,Very Good,E,VVS2,61.5,58,3429,5.67,5.71,3.5
1.18,Ideal,H,SI1,61.5,57,6440,6.78,6.82,4.18
0.41,Very Good,D,VS1,63.4,56,991,4.7,4.76,3
1,Very Good,E,SI2,59.8,58,4321,6.47,6.53,3.89
0.51,Good,E,VS2,61.1,65,1424,5.14,5.11,3.13
0.58,Ideal,D,VS2,61.2,57,1876,5.37,5.41,3.3
1.69,Ideal,G,SI1,61.8,53,11843,7.68,7.71,4.75
1.5,Very Good,J,VS1,61.3,59,8662,7.36,7.41,4.53
1.7,Premium,I,VS2,61.2,59,11360,7.62,7.55,4.64
1,Premium,G,VS1,62.4,62,6290,6.37,6.33,3.96
0.7,Very Good,I,VVS1,61.2,58,2513,5.65,5.72,3.48
0.3,Premium,G,VVS1,62.4,57,1013,4.29,4.27,2.67
0.38,Premium,I,VS1,59.9,60,898,4.72,4.66,2.81
0.43,Ideal,G,VVS2,60.1,57,1129,4.91,4.88,2.94
2.18,Very Good,J,SI1,62.9,59,13812,8.21,8.25,5.18
1.02,Premium,D,SI2,60.3,58,4718,6.52,6.48,3.92
0.71,Ideal,E,VVS1,62,56,4802,5.69,5.73,3.54
0.7,Premium,G,VVS1,62,61,2932,5.71,5.62,3.51
0.32,Very Good,D,SI1,63.3,57,756,4.39,4.36,2.77
0.32,Ideal,D,SI1,61.2,56,714,4.45,4.47,2.73
0.3,Ideal,F,IF,61.6,58,886,4.28,4.32,2.65
0.52,Premium,G,VS2,61,60,1577,5.19,5.13,3.15
0.32,Ideal,E,VVS1,60.5,57,917,4.44,4.48,2.7
0.32,Ideal,D,SI1,61.5,56,756,4.42,4.39,2.71
0.5,Ideal,H,SI1,62.1,58,1140,5.04,5.07,3.14
0.75,Very Good,J,SI1,62.4,56,2083,5.78,5.82,3.62
0.34,Premium,H,VS2,60.2,60,689,4.56,4.51,2.73
0.34,Ideal,G,VS2,61.4,57,765,4.51,4.48,2.76
0.4,Very Good,G,VS1,61.5,58,868,4.72,4.74,2.91
0.61,Very Good,F,VVS2,60.5,58.5,2274,5.44,5.64,3.34
0.7,Good,H,I1,57.4,63,1255,5.89,5.8,3.36
0.41,Premium,J,VVS1,62.2,59,994,4.75,4.71,2.94
1.13,Ideal,H,SI2,60.6,57,3670,6.79,6.77,4.11
0.67,Ideal,G,IF,61.6,55,3271,5.61,5.65,3.47
0.5,Ideal,G,VS2,62.6,57,1424,5.11,5.05,3.18
0.9,Very Good,D,SI1,62.3,53,5123,6.2,6.22,3.87
0.7,Ideal,E,SI1,62,56,2948,5.68,5.7,3.53
0.42,Ideal,G,VVS1,61.6,55,1235,4.85,4.82,2.98
0.58,Premium,F,VS2,62.2,55,1586,5.4,5.31,3.33
0.62,Premium,F,SI1,59.8,60,1766,5.56,5.51,3.31
0.53,Premium,D,VS2,62.4,59,1877,5.18,5.14,3.22
0.7,Good,G,SI2,60.1,65,2268,5.7,5.65,3.41
0.53,Ideal,E,VS1,60.9,57,1827,5.25,5.19,3.18
0.36,Very Good,G,VS1,61.8,56,741,4.57,4.6,2.84
0.43,Ideal,D,SI1,61.6,56,807,4.82,4.86,2.98
1.51,Premium,H,VS2,60.7,58,10685,7.45,7.4,4.51
0.51,Very Good,D,VVS1,59.9,58,2834,5.16,5.19,3.1
0.42,Ideal,E,SI2,62.4,55,700,4.77,4.81,2.99
0.31,Ideal,F,VS2,60.5,57,591,4.39,4.41,2.66
0.41,Premium,E,SI2,61.3,57,876,4.83,4.79,2.95
1.2,Very Good,E,SI1,61,58,6809,6.83,6.88,4.18
0.4,Ideal,D,VVS2,62.5,55,1010,4.73,4.77,2.97
0.9,Ideal,E,VS2,62,59,5439,6.17,6.21,3.84
1.72,Premium,H,SI2,59.8,59,10749,7.77,7.74,4.64
1.37,Very Good,J,SI2,60.7,60,5063,7.07,7.19,4.33
0.9,Good,G,SI2,58.4,55,3269,6.34,6.39,3.72
0.33,Good,I,VVS2,63.7,56,579,4.36,4.4,2.79
0.7,Ideal,D,SI2,61.6,56,2384,5.73,5.69,3.52
0.3,Ideal,F,IF,61.3,55,873,4.32,4.36,2.66
1,Fair,G,SI1,65.8,55,3304,6.22,6.19,4.08
0.73,Ideal,E,SI1,62.2,56,2791,5.74,5.78,3.58
0.4,Good,E,SI1,63.7,57,687,4.66,4.69,2.98
0.91,Fair,H,SI1,64.4,60,3180,6.1,6.07,3.92
0.32,Good,E,SI1,63.4,56,524,4.31,4.34,2.74
1.07,Premium,H,VS1,60.5,61,4494,6.67,6.59,4.01
1.01,Good,F,SI2,63.8,57,3532,6.31,6.36,4.04
0.42,Ideal,F,SI1,62,57,773,4.81,4.83,2.99
2.03,Premium,J,SI1,62.1,59,12862,8.06,8.12,5.02
0.31,Very Good,E,VVS1,60.4,61,725,4.34,4.4,2.64
2,Premium,J,VS2,62.9,60,11966,7.99,7.95,5.01
1,Very Good,E,SI2,59.5,63,4077,6.47,6.41,3.83
0.77,Premium,F,SI2,62.2,58,2282,5.9,5.85,3.66
2.01,Very Good,H,SI1,63.1,56,11825,8.05,8,5.06
1.16,Ideal,F,VS1,61.9,54,9348,6.75,6.79,4.19
1.03,Premium,H,VS1,59.2,58,4874,6.66,6.61,3.92
0.3,Ideal,F,VVS1,61.1,56,814,4.33,4.38,2.66
0.23,Very Good,D,VVS1,62.4,58,530,3.91,3.97,2.46
1.2,Very Good,I,IF,59.1,61,7141,6.91,6.99,4.11
0.41,Ideal,F,IF,62.2,54,1151,4.76,4.79,2.97
2.01,Very Good,I,VS2,59.6,58,16383,8.18,8.23,4.89
2,Fair,I,SI2,67.7,57,10483,7.88,7.64,5.26
0.71,Ideal,E,SI2,62.7,56,2550,5.68,5.71,3.57
0.73,Premium,F,VS1,60.7,61,3211,5.79,5.75,3.5
2,Ideal,E,SI2,62.3,56,12210,8.04,7.94,4.98
0.31,Premium,G,VS2,59.2,60,544,4.42,4.47,2.63
0.72,Ideal,F,SI1,61.8,57,2440,5.68,5.74,3.53
0.35,Premium,I,VS1,61.1,60,709,4.58,4.52,2.78
0.9,Very Good,I,VS2,58.4,62,3334,6.29,6.35,3.69
0.5,Fair,E,VS2,65,58,1188,4.96,4.92,3.21
0.9,Very Good,D,SI1,62.7,56,4381,6.12,6.16,3.85
1.72,Ideal,H,VS2,61.9,56,15197,7.7,7.75,4.78
1.05,Premium,G,SI2,63,57,4618,6.47,6.41,4.06
1.03,Ideal,H,I1,61.5,57,3230,6.52,6.48,4
0.4,Premium,F,SI1,62.6,59,945,4.74,4.68,2.95
0.74,Ideal,G,VVS2,60.7,56,3831,5.9,5.88,3.58
0.25,Very Good,G,VS2,61.9,57,407,4.05,4.08,2.51
0.4,Premium,H,VVS2,60.9,58,877,4.74,4.79,2.9
0.23,Very Good,H,VS1,61,57,353,3.94,3.96,2.41
0.31,Ideal,G,IF,62.1,56,871,4.31,4.34,2.69
1.51,Premium,H,VS1,62.1,58,10775,7.32,7.26,4.53
1,Very Good,F,SI2,62.9,59,4037,6.27,6.38,3.98
1.13,Premium,H,VS2,61.7,56,5728,6.73,6.65,4.13
1.26,Very Good,H,SI1,60.6,60,6546,6.97,7,4.23
1.21,Premium,H,SI2,61.9,55,5218,6.84,6.79,4.22
1,Premium,G,SI2,59.4,62,4172,6.5,6.47,3.85
0.33,Premium,G,VS1,61.3,58,666,4.42,4.45,2.72
0.52,Very Good,D,VS2,60.9,58,1555,5.22,5.16,3.16
0.29,Premium,G,VVS1,62,58,669,4.23,4.19,2.61
1.28,Ideal,G,SI2,61.4,57,5888,6.96,6.99,4.28
0.74,Very Good,F,SI2,63.1,58,1909,5.76,5.72,3.62
1.3,Premium,H,SI2,60.4,61,4732,7.09,7.04,4.27
0.41,Good,E,SI2,63.3,56,638,4.69,4.73,2.98
0.9,Good,J,SI1,64,61,2873,6,5.96,3.83
1,Ideal,H,SI2,62,56,4649,6.38,6.43,3.97
1.51,Good,H,VS1,59.1,58,11512,7.48,7.52,4.43
0.3,Ideal,F,VVS1,61.9,56,802,4.29,4.33,2.67
0.3,Ideal,D,VVS2,62.1,57,814,4.27,4.3,2.66
0.92,Very Good,I,SI1,63.7,58,3345,6.12,6.18,3.92
1.18,Ideal,I,SI1,62.2,56,5088,6.85,6.75,4.23
1.51,Ideal,J,SI1,62,55,8981,7.42,7.31,4.57
0.41,Very Good,G,VS1,60.7,58,899,4.79,4.83,2.92
0.83,Very Good,I,VVS1,61.8,56,3774,6,6.03,3.72
1.21,Ideal,G,VVS2,61.3,57,10568,6.83,6.85,4.19
0.31,Ideal,H,VS2,61.8,57,507,4.32,4.36,2.68
0.7,Very Good,H,VS1,61.2,55,2453,5.68,5.72,3.49
0.41,Premium,G,SI1,61.4,60,923,4.82,4.75,2.94
0.27,Premium,H,VVS2,60.7,59,623,4.21,4.19,2.55
1.51,Premium,F,SI1,62.8,59,11666,7.31,7.28,4.58
0.28,Very Good,F,VS1,60.8,58,487,4.24,4.28,2.59
0.3,Ideal,H,VS1,60.8,57,503,4.31,4.34,2.63
2.11,Premium,J,SI2,61,58,12440,8.2,8.29,5.03
0.84,Ideal,G,VS1,61.4,56,4372,6.04,6.15,3.74
0.32,Very Good,H,SI1,63.1,54,576,4.42,4.36,2.77
0.52,Very Good,F,SI1,63.7,58,1267,5.11,5.13,3.26
0.5,Ideal,I,VS2,62.5,55,1244,5.05,5.09,3.17
1.71,Premium,J,SI1,61.7,59,8690,7.63,7.7,4.73
0.43,Ideal,H,IF,62.2,55,1304,4.87,4.84,3.02
0.31,Ideal,E,VVS1,61,57,924,4.33,4.36,2.65
1.73,Premium,G,VS2,61.6,58,16960,7.74,7.71,4.76
1.43,Ideal,H,VS1,62,55,11498,7.21,7.28,4.49
1.03,Very Good,D,VVS2,62.7,58,11677,6.39,6.43,4.02
0.5,Ideal,F,SI1,59.9,56,1378,5.36,5.09,3.13
1.52,Very Good,D,VS2,63.4,59,14680,7.32,7.24,4.61
0.4,Ideal,E,VS2,62.4,56,975,4.74,4.71,2.95
1.03,Premium,I,SI1,61,58,4038,6.52,6.47,3.96
0.31,Premium,H,VVS2,62.4,59,802,4.35,4.31,2.7
1.05,Ideal,F,SI1,62,55,5457,6.5,6.54,4.04
0.31,Premium,H,VS1,62.4,58,544,4.32,4.36,2.71
0.33,Very Good,G,VS1,62.9,57,666,4.38,4.43,2.77
0.41,Ideal,E,VVS1,61.4,57,1279,4.8,4.77,2.94
1.04,Very Good,G,VS2,61.1,56,6334,6.54,6.56,4.01
0.38,Premium,G,VS1,61,58,833,4.67,4.71,2.86
0.52,Premium,I,VVS1,63,58,1619,5.12,5.1,3.22
1.01,Very Good,E,VS2,64,56,6771,6.22,6.37,4.03
0.3,Very Good,H,VVS2,62.9,57,605,4.28,4.31,2.7
0.37,Premium,E,SI1,59.3,58,649,4.73,4.75,2.81
1.01,Premium,G,VS1,59.3,59,5632,6.49,6.52,3.86
0.32,Very Good,D,SI2,62.8,57,477,4.35,4.38,2.74
1,Premium,D,VVS2,63,59,9918,6.38,6.35,4.01
2.04,Ideal,I,SI1,62.8,57,14775,8.09,8.02,5.06
1.07,Very Good,H,VS1,62.5,56,6262,6.52,6.55,4.08
1.1,Very Good,G,IF,59.8,56,9053,6.75,6.82,4.06
1.04,Ideal,F,SI2,62.6,57,4547,6.45,6.48,4.05
0.32,Ideal,E,VVS2,62.2,53,816,4.39,4.42,2.74
0.51,Premium,D,VVS2,60.8,60,2387,5.23,5.14,3.15
0.3,Ideal,I,VVS1,61.1,57,709,4.36,4.32,2.65
0.43,Ideal,H,VS2,62.5,56,1218,4.81,4.85,3.02
0.31,Premium,H,SI1,61.1,57,573,4.35,4.32,2.65
0.91,Very Good,H,VS2,62.8,58,4201,6.15,6.17,3.87
1.19,Premium,G,VS2,61.9,58,7389,6.86,6.74,4.21
2.01,Premium,E,SI2,62.2,60,13387,8.02,7.96,4.97
0.31,Ideal,H,VVS2,61.2,56,596,4.34,4.37,2.66
0.9,Premium,E,SI1,59.1,62,4385,6.33,6.3,3.73
1.23,Premium,G,VS1,62.8,56,8381,6.86,6.81,4.29
0.41,Very Good,G,VS1,60.5,57,899,4.81,4.85,2.92
0.53,Very Good,G,SI1,62.5,55,1267,5.12,5.24,3.24
0.3,Very Good,E,SI1,62.9,57,526,4.27,4.32,2.7
2.03,Very Good,I,SI1,62.3,60,16392,8.01,8.07,5.01
0.97,Good,F,SI2,59.1,62,4182,6.49,6.54,3.85
1.31,Ideal,H,VS1,61.5,55,8583,7.05,7.02,4.33
